virksomhedsRegistreringsId,ejerkreds_aktiv_92,ejerkreds_aktiv_94,virksomhedsoplysninger_21,virksomhedsoplysninger_22,virksomhedsoplysninger_25,virksomhedsoplysninger_24,virksomhedsoplysninger_23,virksomhedsoplysninger_20,ejerkreds_aktiv_10,ejerkreds_aktiv_31,ejerkreds_aktiv_96,ejerkreds_aktiv_47,ejerkreds_aktiv_12,ejerkreds_aktiv_48,ejerkreds_aktiv_50,ejerkreds_aktiv_49,ejerkreds_aktiv_1,ejerkreds_aktiv_130,ejerkreds_aktiv_129,ejerkreds_aktiv_128,ejerkreds_aktiv_127,ejerkreds_aktiv_6,ejerkreds_aktiv_25,ejerkreds_aktiv_26,ejerkreds_aktiv_80,ejerkreds_aktiv_102,ejerkreds_aktiv_78,ejerkreds_ny_32,ejerkreds_aktiv_34,virksomhedsoplysninger_55,virksomhedsoplysninger_54,sagsoplysninger_3,ejerkreds_ny_34,sagsoplysninger_2,sagsoplysninger_30,sagsoplysninger_36,target
49,0,0,-200000.0,"-5,00e+06","-1,0e+06","1,57760000000000e-01","41,81600000000000",-500000.0,-50000.0,6.0,,8,1,2,2,2,19.0,0.0,0.0,0.0,0.0,1.0,"-25565,0000000000",-25565.0,0.0,0.0,0,0.0,0.0,6,10,1,0,17,0,2,False
50,1,1,0.0,"-5,00e+06","-1,0e+06","1,62500000000000e-01","42,04272727272727",-500000.0,0.0,5.0,8.0,10,1,3,3,2,5.0,0.0,0.0,0.0,0.0,29.0,"-25539,0000000000",-25539.0,0.0,0.0,0,0.0,0.0,7,10,0,0,0,1,2,False
52,1,1,0.0,"-5,00e+06","-1,0e+06","2,95150000000000e-01","109,20642857142857",-500000.0,50000.0,23.0,5.0,17,3,7,7,7,9.0,5.0,1.0,0.0,0.0,166.0,"-25654,3333333333",-25897.0,0.0,0.0,0,0.0,0.0,3,10,0,0,-34,1,2,False
54,1,1,0.0,"-5,00e+06","-1,0e+06","2,34819354838710e-01","174,25290322580645",-500000.0,0.0,24.0,12.0,22,3,2,2,1,19.0,0.0,0.0,0.0,0.0,118.0,"-25558,0000000000",-25558.0,0.0,0.0,0,0.0,0.0,4,5,0,0,-9,1,2,False
56,1,1,0.0,"-5,00e+06","-1,0e+06","2,98020000000000e-01","42,09600000000000",-500000.0,0.0,8.0,9.0,11,3,4,4,3,11.0,0.0,0.0,0.0,0.0,16.0,"-25581,6666666667",-25613.0,0.0,0.0,0,0.0,0.0,4,5,0,1,-1,0,1,False
58,1,1,0.0,"-5,00e+06","-1,0e+06","2,85714285714286e-01","247,88285714285715",0.0,0.0,13.0,3.0,18,1,3,5,3,11.0,0.0,0.0,0.0,0.0,1.0,"-25537,0000000000",-25537.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-1,0,2,True
59,0,0,,,,,,,0.0,1.0,,2,1,2,2,1,,,,,,,"-25545,0000000000",-25545.0,0.0,0.0,0,0.0,0.0,7,10,0,0,0,0,2,False
61,1,1,0.0,"-5,00e+06","-1,0e+06","3,58911111111111e-01","71,53444444444445",-500000.0,0.0,13.0,11.0,20,3,2,4,2,16.0,3.0,1.0,0.0,3.0,47.0,"-25520,0000000000",-25520.0,0.0,1.0,0,0.0,0.0,6,5,1,0,-41,0,2,False
62,0,0,0.0,"-5,00e+06","-1,0e+06","2,54900000000000e-01","17,18000000000000",-500000.0,0.0,3.0,,4,1,2,2,2,13.0,0.0,0.0,0.0,0.0,1.0,"-25565,0000000000",-25565.0,0.0,0.0,0,0.0,0.0,8,10,0,0,3,0,2,False
63,0,1,0.0,"-5,00e+06","-1,0e+06","5,14050000000000e-01","124,98999999999999",-500000.0,50000.0,3.0,,4,1,2,2,1,19.0,0.0,0.0,0.0,0.0,45.0,"-25559,0000000000",-25559.0,0.0,0.0,0,0.0,0.0,5,10,0,0,-8,0,2,False
